report_date,Property,ADJUSTED_GROSS_REVENUE,ADMISSIONS,WIN_PER_CAPITA,CASINO_SQUARE_FOOTAGE,AVG_DAILY_WIN_PER_SQUARE_FOOT,TABLE_DROP,TABLE_REVENUE,TABLE_REVENUE_PERCENTAGE,NUMBER_OF_TABLE_GAMES,AVG_DAILY_WIN_PER_TABLE_GAME,SLOT_DROP,SLOT_COIN_IN,SLOT_REVENUE,SLOT_REVENUE_PERCENTAGE,NUMBER_OF_SLOT_MACHINES,AVG_DAILY_WIN_PER_SLOT_MACHINE,CITY_TAX,COUNTY_TAX,ENDOWMENT_FUND,STATE_MISC._FUND,STATE_TAX,COVID,BLACKJACK_TABLE_DROP,BLACKJACK_TABLE_REVENUE,BLACKJACK_TABLE_REVENUE_PERCENTAGE,BLACKJACK_NUMBER_OF_TABLE_GAMES,CRAPS_TABLE_DROP,CRAPS_TABLE_REVENUE,CRAPS_TABLE_REVENUE_PERCENTAGE,CRAPS_NUMBER_OF_TABLE_GAMES,ROULETTE_TABLE_DROP,ROULETTE_TABLE_REVENUE,ROULETTE_TABLE_REVENUE_PERCENTAGE,ROULETTE_NUMBER_OF_TABLE_GAMES,MISSISSIPPI_STUD_TABLE_DROP,MISSISSIPPI_STUD_TABLE_REVENUE,MISSISSIPPI_STUD_TABLE_REVENUE_PERCENTAGE,MISSISSIPPI_STUD_NUMBER_OF_TABLE_GAMES,ULTIMATE_TEXAS_HOLD'EM_TABLE_DROP,ULTIMATE_TEXAS_HOLD'EM_TABLE_REVENUE,ULTIMATE_TEXAS_HOLD'EM_TABLE_REVENUE_PERCENTAGE,ULTIMATE_TEXAS_HOLD'EM_NUMBER_OF_TABLE_GAMES,PAI_GOW_POKER_TABLE_DROP,PAI_GOW_POKER_TABLE_REVENUE,PAI_GOW_POKER_TABLE_REVENUE_PERCENTAGE,PAI_GOW_POKER_NUMBER_OF_TABLE_GAMES,ELECTRONIC_TABLE_GAMES_TABLE_DROP,ELECTRONIC_TABLE_GAMES_TABLE_REVENUE,ELECTRONIC_TABLE_GAMES_TABLE_REVENUE_PERCENTAGE,ELECTRONIC_TABLE_GAMES_NUMBER_OF_TABLE_GAMES,OTHER_TABLE_DROP,OTHER_TABLE_REVENUE,OTHER_TABLE_REVENUE_PERCENTAGE,OTHER_NUMBER_OF_TABLE_GAMES,POKER_TABLE_DROP,POKER_TABLE_REVENUE,POKER_TABLE_REVENUE_PERCENTAGE,POKER_NUMBER_OF_TABLE_GAMES,OTHER_SLOTS_SLOT_COIN_IN,OTHER_SLOTS_SLOT_REVENUE,OTHER_SLOTS_SLOT_REVENUE_PERCENTAGE,OTHER_SLOTS_NUMBER_OF_SLOT_MACHINES,0.01_SLOTS_SLOT_COIN_IN,0.01_SLOTS_SLOT_REVENUE,0.01_SLOTS_SLOT_REVENUE_PERCENTAGE,0.01_SLOTS_NUMBER_OF_SLOT_MACHINES,0.05_SLOTS_SLOT_COIN_IN,0.05_SLOTS_SLOT_REVENUE,0.05_SLOTS_SLOT_REVENUE_PERCENTAGE,0.05_SLOTS_NUMBER_OF_SLOT_MACHINES,0.25_SLOTS_SLOT_COIN_IN,0.25_SLOTS_SLOT_REVENUE,0.25_SLOTS_SLOT_REVENUE_PERCENTAGE,0.25_SLOTS_NUMBER_OF_SLOT_MACHINES,1.00_SLOTS_SLOT_COIN_IN,1.00_SLOTS_SLOT_REVENUE,1.00_SLOTS_SLOT_REVENUE_PERCENTAGE,1.00_SLOTS_NUMBER_OF_SLOT_MACHINES,2.00_SLOTS_SLOT_COIN_IN,2.00_SLOTS_SLOT_REVENUE,2.00_SLOTS_SLOT_REVENUE_PERCENTAGE,2.00_SLOTS_NUMBER_OF_SLOT_MACHINES,5.00_SLOTS_SLOT_COIN_IN,5.00_SLOTS_SLOT_REVENUE,5.00_SLOTS_SLOT_REVENUE_PERCENTAGE,5.00_SLOTS_NUMBER_OF_SLOT_MACHINES,10.00_SLOTS_SLOT_COIN_IN,10.00_SLOTS_SLOT_REVENUE,10.00_SLOTS_SLOT_REVENUE_PERCENTAGE,10.00_SLOTS_NUMBER_OF_SLOT_MACHINES,25.00_SLOTS_SLOT_COIN_IN,25.00_SLOTS_SLOT_REVENUE,25.00_SLOTS_SLOT_REVENUE_PERCENTAGE,25.00_SLOTS_NUMBER_OF_SLOT_MACHINES,100.00_SLOTS_SLOT_COIN_IN,100.00_SLOTS_SLOT_REVENUE,100.00_SLOTS_SLOT_REVENUE_PERCENTAGE,100.00_SLOTS_NUMBER_OF_SLOT_MACHINES
2017-07-01,Isle of Capri - Bettendorf,6600755,88976,74,36659,6,2369797,478148,20.18,20,771,41536842,62009443,6122607,9.87,971,203,33004,33004,52806,13201,910147,,1326915,181484,13.68,12,304498,59503,19.54,1,308129,107101,34.76,2,199066,41202,20.7,2,98732,32566,32.98,1,69057,29904,43.3,1,0,0,0.0,0,63400,26388,41.62,1,0,0,0.0,0,259378.0,21771.0,8.39,8.0,38161599.0,4420772.0,11.58,640.0,3987989.0,267212.0,6.7,32.0,8232009.0,535635.0,6.51,132.0,8496638.0,721294.0,8.49,137.0,63740.0,10196.0,16.0,2.0,2216885.0,120742.0,5.45,15.0,382630.0,18860.0,4.93,3.0,208575.0,6125.0,2.94,2.0,0.0,0.0,0.0,0.0
2017-07-01,Lakeside Casino,4104329,44008,93,28290,5,1090138,326518,29.95,13,810,24877718,33265035,3777811,11.36,640,190,20521,20521,32834,8209,410863,,458170,133548,29.15,7,191662,86667,45.22,1,2935,741,25.25,1,0,0,0.0,1,0,0,0.0,0,134427,17648,13.13,1,98321,16680,16.96,1,204623,72716,35.54,1,0,0,0.0,0,348449.0,16718.0,4.8,4.0,24665271.0,3028197.0,12.28,500.0,628454.0,47209.0,7.51,20.0,3656039.0,371464.0,10.16,90.0,2049392.0,145331.0,7.09,13.0,0.0,0.0,0.0,0.0,1220760.0,98486.0,8.07,9.0,385170.0,20881.0,5.42,3.0,311500.0,49525.0,15.9,1.0,0.0,0.0,0.0,0.0
2017-07-01,Prairie Meadows Racetrack & Casino,16172123,301124,54,87441,6,6707011,1715762,25.58,49,1130,123788244,181163410,14456361,7.98,1877,248,80860,80860,129377,32344,3087863,,3063334,604697,19.74,23,942701,225793,23.95,3,549575,168650,30.69,3,497676,104842,21.07,3,326556,88791,27.19,2,229045,73946,32.28,1,153963,28030,18.21,1,788197,265049,33.63,4,155964,155964,100.0,9,0.0,0.0,0.0,0.0,101836286.0,10221206.0,10.04,1342.0,10191199.0,525995.0,5.16,88.0,13664131.0,839838.0,6.15,159.0,43702166.0,2592004.0,5.93,244.0,1270528.0,74385.0,5.85,5.0,7503745.0,113631.0,1.51,30.0,1348580.0,38080.0,2.82,4.0,1020975.0,24752.0,2.42,4.0,625800.0,26470.0,4.23,1.0
2017-07-01,Q Casino,3928005,81111,48,46913,3,1444040,261285,18.09,22,383,28550784,40818562,3666720,8.98,821,144,19640,19640,31424,7856,375597,,615162,86444,14.05,10,173051,10880,6.29,2,85166,14895,17.49,1,229067,57656,25.17,1,155045,30587,19.73,1,71795,13950,19.43,1,0,0,0.0,0,95065,27184,28.6,2,19689,19689,100.0,4,0.0,0.0,0.0,0.0,28751155.0,2941964.0,10.23,615.0,1599012.0,106927.0,6.69,37.0,5998829.0,325931.0,5.43,97.0,4057981.0,284777.0,7.02,68.0,0.0,0.0,0.0,0.0,411585.0,7121.0,1.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Rhythm City Casino,5659505,104758,54,37917,5,2198644,448071,20.38,31,466,38725071,54093877,5211434,9.63,790,213,28297,28297,45276,11319,721898,,1068003,180029,16.86,13,319326,29898,9.36,2,130490,43755,33.53,2,161876,50939,31.47,1,150561,35815,23.79,1,60911,9076,14.9,1,207584,48593,23.41,1,65039,15112,23.24,2,34854,34854,100.0,8,0.0,0.0,0.0,0.0,37155810.0,4080812.0,10.98,596.0,2046281.0,147484.0,7.21,25.0,5153490.0,367169.0,7.12,97.0,6432521.0,446575.0,6.94,52.0,720605.0,49054.0,6.81,5.0,1768370.0,106705.0,6.03,10.0,570450.0,3785.0,0.66,3.0,246350.0,9850.0,4.0,2.0,0.0,0.0,0.0,0.0
2017-07-01,Riverside Casino and Golf Resort,7622802,125398,61,51955,5,3564718,668634,18.76,48,449,52023562,74000626,6954168,9.4,964,233,38114,38114,60982,15246,1114557,,1494460,222583,14.89,19,370456,65081,17.57,3,306433,60104,19.61,3,415193,62271,15.0,2,329422,97694,29.66,2,96667,23771,24.59,2,425596,62868,14.77,2,63367,11138,17.58,1,63124,63124,100.0,14,3848788.0,307416.0,7.99,34.0,43498253.0,4937343.0,11.35,599.0,6637920.0,412918.0,6.22,78.0,11409947.0,843412.0,7.39,182.0,4484840.0,262657.0,5.86,32.0,343958.0,25662.0,7.46,4.0,2991650.0,155080.0,5.18,29.0,511220.0,27430.0,5.37,4.0,274050.0,17750.0,6.48,2.0,0.0,0.0,0.0,0.0
2017-07-01,Wild Rose - Clinton,2665902,51385,52,19681,4,642127,136271,21.22,11,400,18745005,27020799,2529631,9.36,549,149,13329,13329,21327,5332,163269,,256736,39008,15.19,4,125420,60707,48.4,1,0,0,0.0,0,0,0,0.0,0,46663,18219,39.04,1,11115,533,4.8,1,131102,14636,11.16,2,71091,4234,5.96,2,0,0,0.0,0,0.0,0.0,0.0,0.0,19547296.0,1988874.0,10.17,415.0,1862551.0,114904.0,6.17,29.0,1924962.0,161513.0,8.39,58.0,3094245.0,204472.0,6.61,37.0,0.0,0.0,0.0,0.0,422245.0,38843.0,9.2,9.0,0.0,0.0,0.0,0.0,169500.0,21025.0,12.4,1.0,0.0,0.0,0.0,0.0
2017-07-01,Wild Rose - Emmetsburg,2546283,39321,65,16790,5,690246,204310,29.6,11,599,18138866,28341619,2341973,8.26,487,155,12731,12731,20370,5092,153700,,345436,104395,30.22,5,19717,5075,25.74,1,0,0,0.0,0,29375,8864,30.18,1,28952,16817,58.09,1,15976,10051,62.91,1,250790,59108,23.57,2,0,0,0.0,0,0,0,0.0,0,275909.0,22090.0,8.01,8.0,19726840.0,1814439.0,9.2,357.0,706164.0,66231.0,9.38,20.0,4012161.0,226489.0,5.65,62.0,2497027.0,144086.0,5.77,31.0,0.0,0.0,0.0,0.0,1007878.0,62608.0,6.21,8.0,115640.0,6030.0,5.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Wild Rose - Jefferson,2514456,41664,60,16686,5,700960,137472,19.61,13,341,17081366,24717932,2376984,9.62,510,150,12572,12572,20115,5029,151154,,379719,62873,16.56,7,41298,11929,28.89,1,0,0,0.0,0,101590,32466,31.96,1,45636,5374,11.78,1,31989,2606,8.15,1,99923,22079,22.1,1,805,145,18.01,1,0,0,0.0,0,230570.0,14612.0,6.34,4.0,16474571.0,1748757.0,10.61,366.0,894761.0,83853.0,9.37,31.0,2605713.0,208575.0,8.0,53.0,4006996.0,303229.0,7.57,51.0,66436.0,9468.0,14.25,1.0,316425.0,10910.0,3.45,3.0,122460.0,2420.0,1.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,Ameristar II,13783346,158999,87,39174,11,5326753,1134730,21.3,25,1464,83106178,132281006,12648616,9.56,1586,257,68917,68917,110267,27567,2756666,,2665997,549754,20.62,15,885862,107093,12.09,2,480460,158152,32.92,2,159417,42372,26.58,1,626535,152846,24.4,2,124156,39140,31.52,1,0,0,0.0,0,384326,85373,22.21,2,0,0,0.0,0,1110700.0,115212.0,10.37,2.0,91686446.0,10348413.0,11.29,1316.0,2025508.0,156414.0,7.72,20.0,12889040.0,663255.0,5.15,130.0,20567214.0,1114562.0,5.42,95.0,1090158.0,33499.0,3.07,4.0,1983035.0,162327.0,8.19,14.0,229930.0,5423.0,2.36,1.0,441775.0,15411.0,3.49,2.0,257200.0,34100.0,13.26,2.0
2017-08-01,Casino Queen - Marquette,1866079,19810,94,17514,3,293081,76469,26.09,9,274,14470798,19941810,1789610,8.97,518,111,9330,9330,14928,3732,290684,,126199,14474,11.47,4,4595,1998,43.48,1,0,0,0.0,0,65626,25167,38.35,1,54195,22304,41.16,1,0,0,0.0,0,42466,12526,29.5,2,0,0,0.0,0,0,0,0.0,0,36295.0,5147.0,14.18,4.0,14347919.0,1463732.0,10.2,350.0,851675.0,65684.0,7.71,36.0,1402185.0,116947.0,8.34,62.0,2808781.0,144170.0,5.13,60.0,0.0,0.0,0.0,0.0,494955.0,6070.0,1.23,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,Catfish Bend Casino,3329185,41346,81,24353,4,1046950,260811,24.91,25,337,20711631,31425892,3068374,9.76,607,163,16646,16646,26633,6658,665836,,426383,108133,25.36,10,139140,25482,18.31,2,67770,5578,8.23,1,23861,12703,53.24,1,120893,19191,15.87,1,109462,24821,22.68,2,0,0,0.0,0,144546,50008,34.6,3,14895,14895,100.0,5,4281476.0,380430.0,8.89,7.0,18007284.0,2002955.0,11.12,454.0,948443.0,83477.0,8.8,51.0,4561753.0,314189.0,6.89,71.0,2625726.0,186761.0,7.11,18.0,0.0,0.0,0.0,0.0,1001210.0,100562.0,10.04,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,Diamond Jo - Dubuque,5851103,78574,74,43495,4,2205790,404866,18.35,20,653,36590361,56439517,5446237,9.65,914,192,29255,29255,46809,11702,1170219,,1177068,171288,14.55,11,347316,60309,17.36,2,164834,40332,24.47,2,0,0,0.0,0,0,0,0.0,0,71771,23233,32.37,1,0,0,0.0,0,444801,109704,24.66,4,0,0,0.0,0,388014.0,40748.0,10.5,9.0,38461427.0,4293488.0,11.16,714.0,5221250.0,257079.0,4.92,47.0,5651853.0,357826.0,6.33,82.0,4815253.0,347116.0,7.21,46.0,0.0,0.0,0.0,0.0,1901720.0,149980.0,7.89,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,Diamond Jo - Worth,7464660,101720,73,36363,7,2659346,645310,24.27,32,651,44156331,70488116,6819350,9.67,936,235,37323,37323,59717,14929,1492930,,991234,140660,14.19,13,832729,268623,32.26,3,125827,14373,11.42,3,217253,58559,26.95,2,100965,22057,21.85,1,0,0,0.0,0,131247,20619,15.71,1,189974,50302,26.48,2,70117,70117,100.0,7,2303410.0,179868.0,7.81,41.0,47790113.0,5485526.0,11.48,711.0,3533395.0,164353.0,4.65,40.0,8619205.0,512392.0,5.94,82.0,4315078.0,242630.0,5.62,31.0,0.0,0.0,0.0,0.0,3926915.0,234581.0,5.97,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,Grand Falls Casino Resort,4473924,85907,52,37810,4,2933809,628630,21.43,38,534,24714489,40083558,3845294,9.59,606,205,22370,22370,35791,8948,894782,,1440311,165863,11.52,18,445601,148458,33.32,3,237836,75500,31.74,3,417632,91505,21.91,2,186818,36708,19.65,1,127622,32607,25.55,2,0,0,0.0,0,0,0,0.0,1,77989,77989,100.0,8,0.0,0.0,0.0,0.0,29835326.0,3077694.0,10.32,467.0,112093.0,8738.0,7.8,2.0,2843896.0,182477.0,6.42,77.0,5608348.0,454319.0,8.1,47.0,0.0,0.0,0.0,0.0,1293400.0,121206.0,9.37,9.0,224470.0,40190.0,17.9,2.0,166025.0,41050.0,24.73,2.0,0.0,0.0,0.0,0.0
