report_date,property,sports_wagering_net_receipts,sports_wagering_handle,sports_wagering_payouts,retail_net_receipts,retail_handle,retail_payouts,internet_net_receipts,internet_handle,internet_payouts,state_tax
2019-10-01,Horseshoe Casino Council Bluffs,466507.56,2980795.95,2514288.39,466507.56,2980795.95,2514288.39,0.0,0.0,0.0,31489.26
2019-10-01,Isle Casino Hotel Waterloo,411380.67,3877550.94,3466170.27,70696.74,388116.39,317419.65,340683.93,3489434.55,3148750.62,27768.2
2019-10-01,Isle of Capri - Bettendorf,263684.55,2131375.54,1867690.99,135491.65,791641.25,656149.6,128192.9,1339734.29,1211541.39,17798.71
2019-10-01,Lakeside Casino,218323.03,1299297.13,1080974.1,75571.91,346348.31,270776.4,142751.12,952948.82,810197.7,14736.8
2019-10-01,Prairie Meadows Racetrack & Casino,1747465.31,17823927.08,16076461.77,198712.18,1529930.58,1331218.4,1548753.13,16293996.5,14745243.37,117953.91
2019-10-01,Q Casino,102317.5,866781.55,764464.05,102317.5,866781.55,764464.05,0.0,0.0,0.0,6906.43
2019-10-01,Rhythm City Casino,141898.42,1373768.13,1231869.71,64598.83,699763.42,635164.59,77299.59,674004.71,596705.12,9577.8
2019-10-01,Riverside Casino and Golf Resort,430118.59,3385111.34,2954992.75,96821.47,711454.84,614633.37,333297.12,2673656.5,2340359.38,29030.64
2019-10-01,Wild Rose - Clinton,24018.54,119057.45,95038.91,24018.54,119057.45,95038.91,0.0,0.0,0.0,1621.25
2019-10-01,Wild Rose - Emmetsburg,28656.12,102560.77,73904.65,28656.12,102560.77,73904.65,0.0,0.0,0.0,1934.29
2019-10-01,Wild Rose - Jefferson,21571.07,167440.36,145869.29,21571.07,167440.36,145869.29,0.0,0.0,0.0,1456.05
2019-11-01,Ameristar II,343339.58,4452158.46,4108818.88,343339.58,4452158.46,4108818.88,0.0,0.0,0.0,23175.42
2019-11-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,Catfish Bend Casino,24499.28,753518.97,729019.69,20115.96,727255.56,707139.6,4383.32,26263.41,21880.09,1653.7
2019-11-01,Diamond Jo - Dubuque,152451.12,1213204.25,1060753.13,152451.12,1213204.25,1060753.13,0.0,0.0,0.0,10290.45
2019-11-01,Diamond Jo - Worth,403309.75,4489299.5,4085989.75,403309.75,4489299.5,4085989.75,0.0,0.0,0.0,27223.41
2019-11-01,Grand Falls Casino Resort,177892.62,2016901.79,1839009.17,123539.77,1120964.95,997425.18,54352.85,895936.84,841583.99,11985.88
2019-11-01,Hard Rock Casino,171017.87,1695244.57,1524226.7,171017.87,1695244.57,1524226.7,0.0,0.0,0.0,11530.81
2019-11-01,Harrah's Council Bluffs Casino & Hotel,117975.63,1515395.75,1397420.12,117975.63,1515395.75,1397420.12,0.0,0.0,0.0,7963.36
2019-11-01,Horseshoe Casino Council Bluffs,223516.49,3806268.7,3582752.21,223516.49,3806268.7,3582752.21,0.0,0.0,0.0,15087.36
2019-11-01,Isle Casino Hotel Waterloo,325905.71,5356508.16,5030602.45,39465.35,534551.2,495085.85,286440.36,4821956.96,4535516.6,21998.63
2019-11-01,Isle of Capri - Bettendorf,121116.6,3072722.08,2951605.48,40418.4,1306828.7,1266410.3,80698.2,1765893.38,1685195.18,8175.37
2019-11-01,Lakeside Casino,113169.36,1440181.72,1327012.36,59186.3,388915.55,329729.25,53983.06,1051266.17,997283.11,7638.94
2019-11-01,Prairie Meadows Racetrack & Casino,1038585.71,20589342.41,19550756.7,159449.6,1530952.9,1371503.3,879136.11,19058389.51,18179253.4,70104.54
2019-11-01,Q Casino,119404.65,1298337.9,1178933.25,94432.7,1000097.25,905664.55,24971.95,298240.65,273268.7,8059.82
2019-11-01,Rhythm City Casino,98321.16,1753127.49,1654806.33,33310.78,753253.93,719943.15,65010.38,999873.56,934863.18,6591.12
2019-11-01,Riverside Casino and Golf Resort,94007.74,5360953.95,5266946.21,10396.02,613022.01,602625.99,83611.72,4747931.94,4664320.22,6345.52
2019-11-01,Wild Rose - Clinton,22383.46,196181.81,173798.35,22383.46,196181.81,173798.35,0.0,0.0,0.0,1510.88
2019-11-01,Wild Rose - Emmetsburg,23040.68,158960.3,135919.62,23040.68,158960.3,135919.62,0.0,0.0,0.0,1555.25
2019-11-01,Wild Rose - Jefferson,29812.09,176498.18,146686.09,29812.09,176498.18,146686.09,0.0,0.0,0.0,2012.32
2019-12-01,Ameristar II,249377.25,4350115.62,4100738.37,249377.25,4350115.62,4100738.37,0.0,0.0,0.0,16832.96
2019-12-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,Catfish Bend Casino,20109.48,1289819.21,1269709.73,15779.75,670292.15,654512.4,4329.73,619527.06,615197.33,1357.39
2019-12-01,Diamond Jo - Dubuque,47976.0,1434816.75,1386840.75,47976.0,1434816.75,1386840.75,0.0,0.0,0.0,3238.38
2019-12-01,Diamond Jo - Worth,221551.25,4516736.5,4295185.25,221551.25,4516736.5,4295185.25,0.0,0.0,0.0,14954.71
2019-12-01,Grand Falls Casino Resort,149874.31,1613447.82,1463573.51,117111.02,1109895.81,992784.79,32763.29,503552.01,470788.72,10142.24
2019-12-01,Hard Rock Casino,77009.23,1694997.39,1617988.16,52734.47,1405934.28,1353199.81,24274.76,289063.11,264788.35,5198.13
2019-12-01,Harrah's Council Bluffs Casino & Hotel,115071.77,1608774.62,1493702.85,115071.77,1608774.62,1493702.85,0.0,0.0,0.0,8319.91
2019-12-01,Horseshoe Casino Council Bluffs,-16483.23,3594877.88,3611361.11,-16483.23,3594877.88,3611361.11,0.0,0.0,0.0,0.0
2019-12-01,Isle Casino Hotel Waterloo,299643.35,5073485.01,4773841.66,39346.55,443229.85,403883.3,260296.8,4630255.16,4369958.36,20225.92
